consumer_id	consumer	class	file	first_line	surface_id	surface	surface_group	matched_name	name_kind	sites
compiler	Compiler	source	crates/vize_atelier_vapor/src/generators/component.rs	5	s0	S0	stage	vize_carton	compat	2
compiler	Compiler	source	crates/vize_atelier_vapor/src/generators/directive.rs	6	s0	S0	stage	vize_carton	compat	9
compiler	Compiler	source	crates/vize_atelier_vapor/src/generators/event.rs	5	s0	S0	stage	vize_carton	compat	1
compiler	Compiler	test/dev	crates/vize_atelier_vapor/src/generators/event.rs	108	s0	S0	stage	vize_carton	compat	1
compiler	Compiler	source	crates/vize_atelier_vapor/src/generators/for_node.rs	5	s0	S0	stage	vize_carton	compat	4
compiler	Compiler	source	crates/vize_atelier_vapor/src/generators/generate_text.rs	5	s0	S0	stage	vize_carton	compat	1
compiler	Compiler	source	crates/vize_atelier_vapor/src/generators/if_node.rs	5	s0	S0	stage	vize_carton	compat	2
compiler	Compiler	source	crates/vize_atelier_vapor/src/generators/prop.rs	5	s0	S0	stage	vize_carton	compat	1
compiler	Compiler	source	crates/vize_atelier_vapor/src/ir.rs	10	s0	S0	stage	vize_carton	compat	1
compiler	Compiler	source	crates/vize_atelier_vapor/src/ir/constructors.rs	6	s0	S0	stage	vize_carton	compat	1
compiler	Compiler	source	crates/vize_atelier_vapor/src/ir/control_flow.rs	4	s0	S0	stage	vize_carton	compat	1
compiler	Compiler	source	crates/vize_atelier_vapor/src/ir/events.rs	3	s0	S0	stage	vize_carton	compat	1
compiler	Compiler	source	crates/vize_atelier_vapor/src/lower.rs	11	s0	S0	stage	vize_carton	compat	3
compiler	Compiler	test/dev	crates/vize_atelier_vapor/src/lower.rs	212	s0	S0	stage	vize_carton	compat	1
compiler	Compiler	source	crates/vize_atelier_vapor/src/lower/context.rs	5	s0	S0	stage	vize_carton	compat	1
compiler	Compiler	source	crates/vize_atelier_vapor/src/lower/control.rs	5	s0	S0	stage	vize_carton	compat	1
compiler	Compiler	source	crates/vize_atelier_vapor/src/lower/directive.rs	5	s0	S0	stage	vize_carton	compat	4
compiler	Compiler	source	crates/vize_atelier_vapor/src/lower/element.rs	7	s0	S0	stage	vize_carton	compat	3
compiler	Compiler	source	crates/vize_atelier_vapor/src/lower/element/component/model.rs	6	s0	S0	stage	vize_carton	compat	1
compiler	Compiler	source	crates/vize_atelier_vapor/src/lower/element/component/slots.rs	5	s0	S0	stage	vize_carton	compat	1
compiler	Compiler	source	crates/vize_atelier_vapor/src/lower/element/deferred.rs	4	s0	S0	stage	vize_carton	compat	2
compiler	Compiler	source	crates/vize_atelier_vapor/src/lower/element/template.rs	8	s0	S0	stage	vize_carton	compat	3
compiler	Compiler	source	crates/vize_atelier_vapor/src/lower/text.rs	5	s0	S0	stage	vize_carton	compat	2
compiler	Compiler	source	crates/vize_atelier_vapor/src/s3.rs	13	s0	S0	stage	vize_carton	compat	1
compiler	Compiler	source	crates/vize_atelier_vapor/src/s3.rs	13	s1	S1	stage	vize_s1	preferred	1
compiler	Compiler	test/dev	crates/vize_atelier_vapor/src/s3.rs	144	s1	S1	stage	vize_s1	preferred	1
compiler	Compiler	test/dev	crates/vize_atelier_vapor/src/s3.rs	144	s1_to_s2	S1->S2	stage	vize_s1_to_s2	preferred	1
compiler	Compiler	source	crates/vize_atelier_vapor/src/s3/markup.rs	12	s0	S0	stage	vize_carton	compat	2
compiler	Compiler	test/dev	crates/vize_atelier_vapor/src/s3/markup.rs	120	s0	S0	stage	vize_carton	compat	3
compiler	Compiler	source	crates/vize_atelier_vapor/src/s3/native.rs	8	s0	S0	stage	vize_carton	compat	1
compiler	Compiler	source	crates/vize_atelier_vapor/src/s3/native/emit.rs	22	s0	S0	stage	vize_carton	compat	1
compiler	Compiler	source	crates/vize_atelier_vapor/src/s3/native/emit/bindings.rs	5	s0	S0	stage	vize_carton	compat	1
compiler	Compiler	source	crates/vize_atelier_vapor/src/s3/native/emit/component.rs	5	s0	S0	stage	vize_carton	compat	1
compiler	Compiler	source	crates/vize_atelier_vapor/src/s3/native/emit/control.rs	8	s0	S0	stage	vize_carton	compat	2
compiler	Compiler	source	crates/vize_atelier_vapor/src/s3/native/emit/element.rs	7	s0	S0	stage	vize_carton	compat	1
compiler	Compiler	source	crates/vize_atelier_vapor/src/s3/native/emit/spans.rs	9	s0	S0	stage	vize_carton	compat	1
compiler	Compiler	source	crates/vize_atelier_vapor/src/s3/native/emit/spread.rs	6	s0	S0	stage	vize_carton	compat	1
