file	spelling
crates/vize/tests/fmt_lint_agreement_cli.rs	v-on:keyup.space
crates/vize/tests/fmt_lint_agreement_cli.rs	v-on:keyup.32
crates/vize/tests/fmt_lint_agreement_cli.rs	v-on:keyup.custom
